SYNE3,CYRELA COMMERCIAL PROPERT,7.2,43813478.45,219
CESP6,CESP,21.51,43153875.9,216
CESP3,CESP,22.0,117353.95,214
MELK3,MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.,3.9,3041812.05,213
HYPE3,HYPERA,28.27,76296432.75,212
CIEL3,CIELO,2.28,53077267.75,209
MRVE3,MRV ENGENHARIA E PARTICIPAÇÕES,12.0,60266061.9,209
GMAT3,GRUPO MATEUS S.A.,6.03,27872401.9,209
PETZ3,PETZ,16.37,84479327.0,208
ALPA3,ALPARGATAS,31.0,102172.8,206
GGPS3,GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,15.87,39062344.95,205
ALPA4,ALPARGATAS,37.02,83443379.8,204
ELET6,ELETROBRAS,33.01,113969799.05,203
CCRO3,CCR,11.59,116389781.4,203
PDTC3,PADTEC HOLDING S.A.,7.0,1026319.9,203
MDNE3,MOURA DUBEUX ENGENHARIA S/A,5.84,1486866.2,202
BRFS3,BRF,22.52,157144039.35,202
ELET3,ELETROBRAS,33.41,197333950.5,201
EZTC3,EZ TEC,20.45,47629245.65,200
VIVT3,TELEFÔNICA BRASIL,48.19,97001857.15,198
PORT3,WILSON SONS,55.68,2145331.8,197
GRND3,GRENDENE,8.65,12876129.25,197
HBOR3,HELBOR,4.68,4638902.95,195
TIMS3,TIM,13.15,71349743.15,195
ECOR3,ECORODOVIAS,7.32,55707138.45,184
GFSA3,GAFISA,2.01,16365419.5,182
BOAS3,BOA VISTA SERVIÇOS S.A.,6.0,6592569.3,182
STBP3,SANTOS BRASIL,6.43,33485737.85,181
PCAR3,CIA BRASILEIRA DE DISTRIBUIÇÃO,21.73,50135990.45,180
RECV3,PETRORECÔNCAVO S.A.,18.7,14804326.6,180
LCAM3,LOCAMERICA,23.51,91813919.45,179
RLOG3,COSAN,23.08,105214775.75,175
AGRO3,BRASILAGRO,28.79,15906917.15,175
BMOB3,BEMOBI MOBILE TECH S.A.,15.23,10967316.9,173
FIQE3,UNIFIQUE TELECOMUNICAÇÕES S.A.,6.6,2467094.65,171
CURY3,CURY CONSTRUTORA E INCORPORADORA S.A.,7.0,5078698.9,171
COCE5,COELCE,58.09,681209.75,170
POWE3,FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A,10.61,7884965.85,169
ENEV3,ENEVA,14.15,81148146.95,169
MATD3,HOSPITAL MATER DEI SA,13.5,14085477.4,168
MILS3,MILLS,6.39,8717342.8,159
POMO3,MARCOPOLO,2.5,774838.7,158
POMO4,MARCOPOLO,3.05,14658259.9,156
VAMO3,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP.,11.98,27987732.75,155
AALR3,ALLIAR MEDICINA DIAGNÓSTICA,14.97,15156478.45,154
SHUL4,SCHULZ,8.41,2277470.3,148
CBAV3,Companhia Brasileira de Alumínio,13.67,34003822.95,138
UGPA3,ULTRAPAR PARTICIPAÇÕES,14.54,115763881.5,138
NGRD3,NEOGRID,2.63,5048864.6,135
OMGE3,OMEGA GERAÇÃO,27.57,49236324.19,133
RDOR3,REDE D OR SÃO LUIZ S.A.,44.83,134716484.3,130
AERI3,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A,6.55,15105845.35,130
GUAR3,GUARARAPES CONFECÇÕES,9.85,8548280.5,123
PNVL3,DIMED,13.32,8118184.1,121
BRPR3,BR PROPERTIES,7.31,14066871.95,119
TESA3,TERRA SANTA AGRO,48.0,1340759.4,117
JSLG3,JSL S.A.,7.53,3371925.05,117
LREN3,LOJAS RENNER,24.44,288153820.65,117
AMBP3,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,42.18,31911538.55,116
PRNR3,PRINER,7.03,841348.4,114
RAIL3,RUMO,17.76,201239007.35,114
YDUQ3,YDUQS,20.56,60554455.7,113
MTRE3,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,8.37,4960150.4,112
TOTS3,TOTVS,28.64,133573201.7,112
RRRP3,3R PETROLEUM ÓLEO E GÁS S.A,33.55,80922326.35,106
LAME3,LOJAS AMERICANAS,5.91,22778130.25,105
LAME4,LOJAS AMERICANAS,5.89,152618848.55,103
MDIA3,M.DIAS BRANCO,25.49,29295635.3,99
MULT3,MULTIPLAN,18.72,127765085.1,98
SCAR3,SÃO CARLOS,41.22,264281.2,97
MGLU3,MAGAZINE LUIZA,7.22,981999770.65,97
DESK3,DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.,18.34,5977211.15,96
KRSA3,KORA SAÚDE PARTICIPAÇÕES S.A,5.19,902207.25,92
RAIZ4,RAIZEN S.A.,6.45,62519029.45,90
IGTA3,IGUATEMI EMPRESA DE SHOPPING CENTERS,33.0,70275318.31,89
HBSA3,HIDROVIAS DO BRASIL S.A.,3.45,10643934.6,89
ORVR3,ORIZON VALORIZACAO DE RESIDUOS S.A.,26.9,8451993.95,89
ALSO3,ALIANSCSONAE,21.66,31967400.75,85
IGTI11,JEREISSATI,18.07,44909136.8,83
LUPA3,LUPATECH,5.32,9798540.65,82
IGTI3,JEREISSATI,2.73,3565698.2,81
BRIT3,BRISANET PARTICIPAÇÕES S.A.,4.97,2752915.6,81
ANIM3,ANIMA,8.4,21699527.6,81
SBFG3,CENTAURO,22.51,19755398.35,81
BRML3,BR MALLS,8.31,169879624.55,74
